Year,Canola,region,average_max_temp_in_4,average_max_temp_in_5,average_max_temp_in_6,average_max_temp_in_7,average_max_temp_in_8,average_max_temp_in_9,average_max_temp_in_10,days_above_25,days_under_0,longest_dry_spell,longest_wet_spell,days_over_95_precipitation,longest_heat_wave,longest_cold_wave,SPI_in_4,SPI_in_5,SPI_in_6,SPI_in_7,SPI_in_8,SPI_in_9,SPI_in_10,Region,Soil Zone
1993,7.807775448547588,3,284.8539123535156,292.4951477050781,293.1592712402344,293.9437255859375,295.81243896484375,290.82916259765625,284.5813903808594,23,1,7,14,10,5,5,0.1866468398970308,-0.1654161962432754,0.1011107868142786,0.51094667214986,0.2685206048170309,0.2766468072663277,0.0035443747381841,3.0,2.0
1994,-1.5521746757661,3,285.1679992675781,293.1959228515625,294.4759521484375,297.19915771484375,297.14105224609375,295.35736083984375,286.0919494628906,39,0,9,15,15,3,5,-0.0171244305430799,0.0782566227287314,0.459826289586446,0.0960392281025522,0.2901623705541666,0.0057715218282571,0.2392624173188249,3.0,2.0
1995,-2.96898677025343,3,281.4668884277344,289.9360656738281,297.03558349609375,297.7901611328125,299.63140869140625,292.90777587890625,283.9803771972656,53,2,8,11,15,8,5,0.282955541458457,0.272886922570123,0.0439292423018577,0.4893220743272998,0.0403481677312791,-0.0550985460164424,0.3855043521896457,3.0,2.0
1996,2.4573391650855854,3,279.09588623046875,288.00958251953125,296.5335388183594,296.72039794921875,300.9635314941406,291.5243835449219,283.799560546875,50,8,9,13,13,5,6,0.5851473352470388,0.1993841131663861,0.2005771581872361,0.4050165380593384,-0.0286142713023117,0.3502548358249333,0.1832994412807286,3.0,2.0
1997,-4.973084664031333,3,281.1459655761719,289.95452880859375,298.4491271972656,298.5956726074219,299.7240295410156,295.6993713378906,285.3918151855469,66,6,8,21,11,4,8,0.2235708064665004,0.0840613480048548,-0.314093922667312,0.3785789960106826,0.1967920323182771,0.0100007778960323,0.2451225989814857,3.0,2.0
1998,-1.060638455259273,3,287.5152587890625,292.41424560546875,292.1666259765625,298.42047119140625,300.21405029296875,296.1302490234375,285.4417724609375,57,0,9,26,11,3,6,0.1102238523519394,0.1167170282929287,0.5558909395771651,0.0033310166305639,0.3312631056401298,-0.0435927949187467,0.2072178120323071,3.0,2.0
1999,-1.3050542166608636,3,284.3365783691406,289.8125305175781,293.45068359375,297.14544677734375,298.2039794921875,290.97412109375,284.5884094238281,37,1,10,11,20,3,5,0.0604592276125927,0.5533255145375168,0.1540546056729495,0.3364011804068433,0.3601921221843715,0.302380544844709,0.0191049972137217,3.0,2.0
2000,-0.10633194823610381,3,283.91827392578125,291.3482360839844,292.6478271484375,298.249755859375,297.7723083496094,291.5777282714844,285.7425537109375,40,3,9,22,17,2,5,0.4106247299454436,0.2290460876350755,0.4130857928262445,0.4840889557308067,0.4657602629432836,0.200593402001718,0.3015265874280429,3.0,2.0
2001,-0.6649830159574464,3,284.8307800292969,291.926025390625,294.06793212890625,298.1310729980469,300.0843505859375,294.0579833984375,283.9162902832031,59,3,22,13,11,5,2,0.2314451212699758,0.134858783022475,0.2106974087630446,0.4948378918448161,-0.2370983094326887,-0.0214407510711457,0.086805700801302,3.0,2.0
2002,-2.5801404740996468,3,281.97540283203125,288.09539794921875,295.8294372558594,299.83856201171875,295.6195983886719,292.72454833984375,278.2455139160156,46,10,8,16,18,4,5,0.383548624249611,0.1173699112023354,0.203630782805474,0.1901868480506966,0.6442696217409666,0.2281379381153379,0.3674265886240009,3.0,2.0
2003,-8.952159902415493,3,284.8573303222656,290.5097351074219,293.80413818359375,300.0419006347656,301.74139404296875,292.8946838378906,288.07879638671875,63,7,12,16,13,9,3,0.3679502797872891,0.3490275597465533,0.0238804008410197,-0.0681220157377016,-0.0434407614014843,0.2770870263531531,0.0428210623258792,3.0,2.0
